id,user_id,created_at,updated_at
cart_001,usr_001,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_002,usr_002,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_003,usr_003,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_004,usr_004,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_005,usr_005,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_006,usr_006,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_007,usr_007,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_008,usr_008,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_009,usr_009,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_010,usr_010,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_011,usr_011,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_012,usr_012,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_013,usr_013,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_014,usr_014,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_015,usr_015,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_016,usr_016,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_017,usr_017,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_018,usr_018,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_019,usr_019,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_020,usr_020,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_021,usr_021,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_022,usr_022,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_023,usr_023,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_024,usr_024,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_025,usr_025,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_026,usr_026,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_027,usr_027,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_028,usr_028,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_029,usr_029,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_030,usr_030,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_031,usr_031,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_032,usr_032,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_033,usr_033,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_034,usr_034,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_035,usr_035,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
cart_036,usr_036,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
