id,cart_id,product_id,quantity,selected_color,selected_size,created_at,updated_at
ci_001_1,cart_001,prd_001,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_001_2,cart_001,prd_002,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_002_1,cart_002,prd_002,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_002_2,cart_002,prd_004,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_003_1,cart_003,prd_003,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_003_2,cart_003,prd_006,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_004_1,cart_004,prd_004,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_004_2,cart_004,prd_008,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_005_1,cart_005,prd_005,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_005_2,cart_005,prd_010,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_006_1,cart_006,prd_006,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_006_2,cart_006,prd_012,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_007_1,cart_007,prd_007,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_007_2,cart_007,prd_014,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_008_1,cart_008,prd_008,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_008_2,cart_008,prd_016,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_009_1,cart_009,prd_009,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_009_2,cart_009,prd_018,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_010_1,cart_010,prd_010,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_010_2,cart_010,prd_020,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_011_1,cart_011,prd_011,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_011_2,cart_011,prd_022,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_012_1,cart_012,prd_012,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_012_2,cart_012,prd_024,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_013_1,cart_013,prd_013,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_013_2,cart_013,prd_026,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_014_1,cart_014,prd_014,1,White,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
